country,continent,region
Latvia,Europe,Council of Europe+European Union
Lebanon,Asia,
Lesotho,Africa,
Liberia,Africa,
Libya,Africa,
Liechtenstein,Europe,Council of Europe
Lithuania,Europe,Council of Europe+European Union
Luxembourg,Europe,Council of Europe+European Union
Macao,Asia,
Macedonia,Europe,Council of Europe
Madagascar,Africa,
Malawi,Africa,
Malaysia,Asia,Trans-Pacific Partnership
Maldives,Asia,
Mali,Africa,
Malta,Europe,Council of Europe+European Union
Marshall Islands,Oceania,
Martinique,Caribbean,CARICOM
Mauritania,Africa,
Mauritius,Africa,
Mayotte,Africa,
Mexico,North America,Trans-Pacific Partnership+NAFTA
Micronesia,Oceania,
Moldova,Europe,Council of Europe
Monaco,Europe,Council of Europe
Mongolia,Asia,
Montserrat,Caribbean,
Morocco,Africa,
Mozambique,Africa,
Myanmar,Asia,
Namibia,Africa,
Nauru,Oceania,
Nepal,Asia,
Montenegro,Europe,Council of Europe
Netherlands,Europe,Council of Europe+European Union
Netherlands Antilles,Caribbean,
New Caledonia,Oceania,
New Zealand,Oceania,Trans-Pacific Partnership
Nicaragua,Central America,OAS+SICA+CAFTA-DR
Niger,Africa,
Nigeria,Africa,
Niue,Oceania,
Norfolk Island,Oceania,
North Korea,Asia,
Northern Mariana Islands,Oceania,
Norway,Europe,Council of Europe+European Union
Oman,Asia,
Pakistan,Asia,
Palau,Oceania,
Palestinian Territory,Asia,
Panama,Central America,OAS+SICA
Papua New Guinea,Oceania,
Paraguay,South America,Mercosul+OAS
Peru,South America,Trans-Pacific Partnership+OAS+Comunidad Andina
Philippines,Asia,
Pitcairn,Oceania,
Poland,Europe,Council of Europe+European Union
Portugal,Europe,Council of Europe+European Union
Puerto Rico,Caribbean,
Qatar,Asia,
Republic of the Congo,Africa,
Reunion,Africa,
Romania,Europe,Council of Europe+European Union
Russia,Europe,Council of Europe
Rwanda,Africa,
Saint Helena,Africa,
Saint Kitts and Nevis,Caribbean,CARICOM+OAS
Saint Lucia,Caribbean,CARICOM+OAS
Saint Pierre and Miquelon,North America,
Saint Vincent and the Grenadines,Caribbean,CARICOM+OAS
Samoa,Oceania,
San Marino,Europe,Council of Europe
Sao Tome and Principe,Africa,
Saudi Arabia,Asia,
Senegal,Africa,
Serbia,Europe,Council of Europe
Seychelles,Africa,
Sierra Leone,Africa,
Singapore,Asia,Trans-Pacific Partnership
Slovakia,Europe,Council of Europe+European Union
Slovenia,Europe,Council of Europe+European Union
Solomon Islands,Oceania,
Somalia,Africa,
South Africa,Africa,
South Georgia and the South Sandwich Islands,Antarctica,
South Korea,Asia,
Spain,Europe,Council of Europe+European Union
Sri Lanka,Asia,
Sudan,Africa,
Suriname,South America,CARICOM+OAS
Svalbard and Jan Mayen,Europe,
Swaziland,Africa,
Sweden,Europe,Council of Europe+European Union
Switzerland,Europe,Council of Europe
Syria,Asia,
Taiwan,Asia,
Tajikistan,Asia,
Tanzania,Africa,
Thailand,Asia,
Togo,Africa,
Tokelau,Oceania,
Tonga,Oceania,
Trinidad and Tobago,Caribbean,CARICOM+OAS
Tunisia,Africa,
Turkey,Asia,Council of Europe
Turkmenistan,Asia,
Turks and Caicos Islands,Caribbean,
Tuvalu,Oceania,
U.S. Virgin Islands,Caribbean,
Uganda,Africa,
Ukraine,Europe,Council of Europe
United Arab Emirates,Asia,
United Kingdom,Europe,Council of Europe+European Union
United States,North America,Trans-Pacific Partnership+OAS+NAFTA+CAFTA-DR
United States Minor Outlying Islands,Oceania,
Uruguay,South America,Mercosul+OAS
Uzbekistan,Asia,
Vanuatu,Oceania,
Vatican,Europe,
Venezuela,South America,Mercosul+OAS
Vietnam,Asia,
Wallis and Futuna,Oceania,
Western Sahara,Africa,
Yemen,Asia,
Zambia,Africa,
Zimbabwe,Africa,
